update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
740,5489,947200,746.6276676627341,2084,0.1588124968111515,0.3361675888013399,0.0,0.9639999866485596,0.1875,193.125,114.40272887916616,4.0,400.0,1.7406790018081666,0.5458939671516418,0.3197695389389992,0.20043359585106374,0.40257951617240906,nan,1.9609265327453613
750,5568,960000,724.5392596991157,2101,0.10953124985098839,0.29070923329267756,0.0,0.9415000081062317,0.125,197.1875,103.01894167457749,13.0,300.0,1.7227931678295136,0.45317028760910033,-0.14893327690660954,3.247581660747528,1.4576295614242554,nan,4.871819019317627
760,5645,972800,730.3872268773118,2119,0.12128125224262476,0.24410564081269082,0.0,0.8830000162124634,0.25,155.75,62.4314624208019,13.0,265.0,1.6682740449905396,0.6921641230583191,-0.08460470456629991,1.6814155340194703,0.7394202947616577,nan,0.41258201003074646
770,5727,985600,744.7874015485869,2136,0.08624999783933163,0.22998579472995406,0.0,0.9279999732971191,0.1875,215.75,107.40140827754541,8.0,400.0,1.6555018544197082,0.531521700322628,0.2651191607117653,0.10413673892617226,0.3006324768066406,nan,0.7114691138267517
780,5813,998400,756.6493149831588,2154,0.19903124868869781,0.2885432935118848,0.0,0.7615000009536743,0.375,151.6875,77.61501042807377,38.0,300.0,1.5659544169902802,0.9931111633777618,-0.07667831424623728,2.335544168949127,1.0754342079162598,nan,2.902906894683838
790,5892,1011200,748.7113865940628,2171,0.2608125004917383,0.37825296967123634,0.0,0.9369999766349792,0.375,159.625,126.96597723406062,7.0,400.0,1.5888518989086151,1.546119010448456,0.1909807775169611,4.5509402513504025,2.4505629539489746,nan,1.9712576866149902
800,5966,1024000,750.841420105599,2188,0.182781252078712,0.3475147049987191,0.0,0.9819999933242798,0.25,163.875,100.04428706827791,2.0,300.0,1.6105636835098267,0.6526506841182709,-0.22180408164858817,4.055646347999573,1.7899134159088135,nan,0.9481929540634155
810,6037,1036800,746.5581055725677,2306,0.2355937473475933,0.3191633181326544,0.0,0.8560000061988831,0.375,171.3125,112.33472234242625,16.0,400.0,1.655114859342575,0.2609377533197403,-0.25470997020602226,3.918688255548477,1.6880829334259033,nan,0.8620454668998718
820,6116,1049600,738.7204349619041,2323,0.2670000046491623,0.37681374507908105,0.0,0.9235000014305115,0.375,152.4375,112.8023541143978,11.0,400.0,1.6434544682502747,0.4691467180848122,0.19450274780392646,0.09090336617082358,0.22351990640163422,nan,0.7639392018318176
830,6188,1062400,747.6138310342974,2341,0.1547968741506338,0.27711943313733883,0.0,0.7367500066757202,0.25,214.5,114.91899320825954,59.0,400.0,1.672218006849289,0.4380277246236801,-0.34219602420926093,4.715697526931763,1.9989303350448608,nan,1.3667739629745483
